Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Tadd Dameron,Tadd_Dameron,http://dbpedia.org/resource/Tadd_Dameron,https://linkedjazz.org/image/square/Tadd_Dameron.png,Q29,Q32,
Coleman Hawkins,Coleman_Hawkins,http://dbpedia.org/resource/Coleman_Hawkins,https://linkedjazz.org/image/square/Coleman_Hawkins.png,Q29,Q32,
Bill Strumpets,Bill_Strumpets,,https://linkedjazz.org/image/square/Bill_Strumpets.png,Q29,Q32,
"George ""Wild_Child"" Butler","George_""Wild_Child""_Butler","http://dbpedia.org/resource/George_""Wild_Child""_Butler",https://linkedjazz.org/image/square/George_Wild_Child_Butler.png,Q29,Q32,
Nat King Cole,Nat_King_Cole,http://dbpedia.org/resource/Nat_King_Cole,https://linkedjazz.org/image/square/Nat_King_Cole.png,Q29,Q32,
Eric Dolphy,Eric_Dolphy,http://dbpedia.org/resource/Eric_Dolphy,https://linkedjazz.org/image/square/Eric_Dolphy.png,Q29,Q32,
Sam Rivers,Sam_Rivers,http://dbpedia.org/resource/Sam_Rivers,https://linkedjazz.org/image/square/Sam_Rivers.png,Q29,Q32,
Cecil Taylor,Cecil_Taylor,http://dbpedia.org/resource/Cecil_Taylor,https://linkedjazz.org/image/square/Cecil_Taylor.png,Q29,Q32,
Paul Bley,Paul_Bley,http://dbpedia.org/resource/Paul_Bley,https://linkedjazz.org/image/square/Paul_Bley.png,Q29,Q32,
Jaki Byard,Jaki_Byard,http://dbpedia.org/resource/Jaki_Byard,https://linkedjazz.org/image/square/Jaki_Byard.png,Q29,Q32,
Charlie Mariano,Charlie_Mariano,http://dbpedia.org/resource/Charlie_Mariano,https://linkedjazz.org/image/square/Charlie_Mariano.png,Q29,Q32,
John Coltrane,John_Coltrane,http://dbpedia.org/resource/John_Coltrane,https://linkedjazz.org/image/square/John_Coltrane.png,Q29,Q32,
Dizzy Gillespie,Dizzy_Gillespie,http://dbpedia.org/resource/Dizzy_Gillespie,https://linkedjazz.org/image/square/Dizzy_Gillespie.png,Q29,Q32,
Quincy Jones,Quincy_Jones,http://dbpedia.org/resource/Quincy_Jones,https://linkedjazz.org/image/square/Quincy_Jones.png,Q29,Q32,
Wynton Marsalis,Wynton_Marsalis,http://dbpedia.org/resource/Wynton_Marsalis,https://linkedjazz.org/image/square/Wynton_Marsalis.png,Q29,Q32,
Miles Davis,Miles_Davis,http://dbpedia.org/resource/Miles_Davis,https://linkedjazz.org/image/square/Miles_Davis.png,Q29,Q32,
Billie Holiday,Billie_Holiday,http://dbpedia.org/resource/Billie_Holiday,https://linkedjazz.org/image/square/Billie_Holiday.png,Q29,Q32,
Rodney Kendrick,Rodney_Kendrick,http://dbpedia.org/resource/Rodney_Kendrick,https://linkedjazz.org/image/square/Rodney_Kendrick.png,Q29,Q32,
Thad Jones,Thad_Jones,http://dbpedia.org/resource/Thad_Jones,https://linkedjazz.org/image/square/Thad_Jones.png,Q29,Q32,
Johnny Griffin,Johnny_Griffin,http://dbpedia.org/resource/Johnny_Griffin,https://linkedjazz.org/image/square/Johnny_Griffin.png,Q29,Q32,
Lionel Hampton,Lionel_Hampton,http://dbpedia.org/resource/Lionel_Hampton,https://linkedjazz.org/image/square/Lionel_Hampton.png,Q29,Q32,
Gene Ammons,Gene_Ammons,http://dbpedia.org/resource/Gene_Ammons,https://linkedjazz.org/image/square/Gene_Ammons.png,Q29,Q32,
Illinois Jacquet,Illinois_Jacquet,http://dbpedia.org/resource/Illinois_Jacquet,https://linkedjazz.org/image/square/Illinois_Jacquet.png,Q29,Q32,
Joe Williams,Joe_Williams,http://dbpedia.org/resource/Joe_Williams_(jazz_singer),https://linkedjazz.org/image/square/Joe_Williams_(jazz_singer).png,Q29,Q32,
James Moody,James_Moody,http://dbpedia.org/resource/James_Moody_(saxophonist),https://linkedjazz.org/image/square/James_Moody_(saxophonist).png,Q29,Q32,
Ron Carter,Ron_Carter,http://dbpedia.org/resource/Ron_Carter,https://linkedjazz.org/image/square/Ron_Carter.png,Q29,Q32,
Charles Davis_(flute_player),Charles_Davis_(flute_player),http://dbpedia.org/resource/Charles_Davis_(flute_player),https://linkedjazz.org/image/square/Charles_Davis_(flute_player).png,Q29,Q32,
Sonny Rollins,Sonny_Rollins,http://dbpedia.org/resource/Sonny_Rollins,https://linkedjazz.org/image/square/Sonny_Rollins.png,Q29,Q32,
Sun Ra,Sun_Ra,http://dbpedia.org/resource/Sun_Ra,https://linkedjazz.org/image/square/Sun_Ra.png,Q29,Q32,
Fats Navarro,Fats_Navarro,http://dbpedia.org/resource/Fats_Navarro,https://linkedjazz.org/image/square/Fats_Navarro.png,Q29,Q32,
Benny Goodman,Benny_Goodman,http://dbpedia.org/resource/Benny_Goodman,https://linkedjazz.org/image/square/Benny_Goodman.png,Q29,Q32,
Louis Jordan,Louis_Jordan,http://dbpedia.org/resource/Louis_Jordan,https://linkedjazz.org/image/square/Louis_Jordan.png,Q29,Q32,
Ben Webster,Ben_Webster,http://dbpedia.org/resource/Ben_Webster,https://linkedjazz.org/image/square/Ben_Webster.png,Q29,Q32,
Fletcher Henderson,Fletcher_Henderson,http://dbpedia.org/resource/Fletcher_Henderson,https://linkedjazz.org/image/square/Fletcher_Henderson.png,Q29,Q32,
Kenny Dorham,Kenny_Dorham,http://dbpedia.org/resource/Kenny_Dorham,https://linkedjazz.org/image/square/Kenny_Dorham.png,Q29,Q32,
Von Freeman,Von_Freeman,http://dbpedia.org/resource/Von_Freeman,https://linkedjazz.org/image/square/Von_Freeman.png,Q29,Q32,
Clark Terry,Clark_Terry,http://dbpedia.org/resource/Clark_Terry,https://linkedjazz.org/image/square/Clark_Terry.png,Q29,Q32,
John Gilmore,John_Gilmore,http://dbpedia.org/resource/John_Gilmore_(musician),https://linkedjazz.org/image/square/John_Gilmore_(musician).png,Q29,Q32,
Dinah Washington,Dinah_Washington,http://dbpedia.org/resource/Dinah_Washington,https://linkedjazz.org/image/square/Dinah_Washington.png,Q29,Q32,
Duke Ellington,Duke_Ellington,http://dbpedia.org/resource/Duke_Ellington,https://linkedjazz.org/image/square/Duke_Ellington.png,Q29,Q32,
Clifford Jordan,Clifford_Jordan,http://dbpedia.org/resource/Clifford_Jordan,https://linkedjazz.org/image/square/Clifford_Jordan.png,Q29,Q32,
Milt Hinton,Milt_Hinton,http://dbpedia.org/resource/Milt_Hinton,https://linkedjazz.org/image/square/Milt_Hinton.png,Q29,Q32,
Pat Patrick,Pat_Patrick,"http://dbpedia.org/resource/Laurdine_""Pat""_Patrick",https://linkedjazz.org/image/square/Laurdine_Pat_Patrick.png,Q29,Q32,
Max Roach,Max_Roach,http://dbpedia.org/resource/Max_Roach,https://linkedjazz.org/image/square/Max_Roach.png,Q29,Q32,
Thelonious Monk,Thelonious_Monk,http://dbpedia.org/resource/Thelonious_Monk,https://linkedjazz.org/image/square/Thelonious_Monk.png,Q29,Q32,
Artie Shaw,Artie_Shaw,http://dbpedia.org/resource/Artie_Shaw,https://linkedjazz.org/image/square/Artie_Shaw.png,Q29,Q32,
Mel Lewis,Mel_Lewis,http://dbpedia.org/resource/Mel_Lewis,https://linkedjazz.org/image/square/Mel_Lewis.png,Q29,Q32,
Count Basie,Count_Basie,http://dbpedia.org/resource/Count_Basie,https://linkedjazz.org/image/square/Count_Basie.png,Q29,Q32,
Clarence Henry,Clarence_Henry,http://dbpedia.org/resource/Clarence_Henry,https://linkedjazz.org/image/square/Clarence_Henry.png,Q29,Q32,
Alvin Queen,Alvin_Queen,,https://linkedjazz.org/image/square/Alvin_Queen.png,Q29,Q32,
Walter Dyett,Walter_Dyett,http://dbpedia.org/resource/Walter_Dyett,https://linkedjazz.org/image/square/Walter_Dyett.png,Q29,Q32,
Charles Davis_(saxophonist),Charles_Davis_(saxophonist),http://dbpedia.org/resource/Charles_Davis_(saxophonist),https://linkedjazz.org/image/square/Charles_Davis_(saxophonist).png,Q29,Q32,
George Butler_(record_producer),George_Butler_(record_producer),http://dbpedia.org/resource/George_Butler_(record_producer),https://linkedjazz.org/image/square/George_Butler_(record_producer).png,Q29,Q32,
Little Esther,Little_Esther,http://dbpedia.org/resource/Little_Esther,https://linkedjazz.org/image/square/Little_Esther.png,Q29,Q32,
Jimmy Evans,Jimmy_Evans,,https://linkedjazz.org/image/square/Jimmy_Evans.png,Q29,Q32,
Todd Barkan,Todd_Barkan,,https://linkedjazz.org/image/square/Todd_Barkan.png,Q29,Q32,
Little Jimmy Scott,Little_Jimmy_Scott,,https://linkedjazz.org/image/square/Little_Jimmy_Scott.png,Q29,Q32,
Frankie Valli,Frankie_Valli,http://dbpedia.org/resource/Frankie_Valli,https://linkedjazz.org/image/square/Frankie_Valli.png,Q29,Q32,
Lou Reed,Lou_Reed,http://dbpedia.org/resource/Lou_Reed,https://linkedjazz.org/image/square/Lou_Reed.png,Q29,Q32,
Wynonie Harris,Wynonie_Harris,http://dbpedia.org/resource/Wynonie_Harris,https://linkedjazz.org/image/square/Wynonie_Harris.png,Q29,Q32,
Nancy Wilson,Nancy_Wilson,http://dbpedia.org/resource/Nancy_Wilson_(jazz_singer),https://linkedjazz.org/image/square/Nancy_Wilson_(jazz_singer).png,Q29,Q32,
Jimmy Scott,Jimmy_Scott,http://dbpedia.org/resource/Jimmy_Scott,https://linkedjazz.org/image/square/Jimmy_Scott.png,Q29,Q32,
Charles Mingus,Charles_Mingus,http://dbpedia.org/resource/Charles_Mingus,https://linkedjazz.org/image/square/Charles_Mingus.png,Q29,Q32,
Jack Benny,Jack_Benny,http://dbpedia.org/resource/Jack_Benny,https://linkedjazz.org/image/square/Jack_Benny.png,Q29,Q32,
Mickey Rooney,Mickey_Rooney,http://dbpedia.org/resource/Mickey_Rooney,https://linkedjazz.org/image/square/Mickey_Rooney.png,Q29,Q32,
Clyde McPhatter,Clyde_McPhatter,http://dbpedia.org/resource/Clyde_McPhatter,https://linkedjazz.org/image/square/Clyde_McPhatter.png,Q29,Q32,
Howard Biggs,Howard_Biggs,,https://linkedjazz.org/image/square/Howard_Biggs.png,Q29,Q32,
Teddy Reig,Teddy_Reig,,https://linkedjazz.org/image/square/Teddy_Reig.png,Q29,Q32,
Winnie Brown,Winnie_Brown,,https://linkedjazz.org/image/square/Winnie_Brown.png,Q29,Q32,
Big Maybelle,Big_Maybelle,http://dbpedia.org/resource/Big_Maybelle,https://linkedjazz.org/image/square/Big_Maybelle.png,Q29,Q32,
Sarah Vaughan,Sarah_Vaughan,http://dbpedia.org/resource/Sarah_Vaughan,https://linkedjazz.org/image/square/Sarah_Vaughan.png,Q29,Q32,
Herman Lubinsky,Herman_Lubinsky,,https://linkedjazz.org/image/square/Herman_Lubinsky.png,Q29,Q32,
Larry Darnell,Larry_Darnell,http://dbpedia.org/resource/Larry_Darnell,https://linkedjazz.org/image/square/Larry_Darnell.png,Q29,Q32,
